wave[um],flux[W/m^2/um]
0.3791,2.5562e-18
0.3793,2.7061e-18
0.3795,2.6756e-18
0.3796,2.5625e-18
0.3798,2.6088e-18
0.3800,2.7328e-18
0.3802,2.6165e-18
0.3804,2.5377e-18
0.3806,2.6480e-18
0.3808,2.7314e-18
0.3810,2.6349e-18
0.3812,2.4521e-18
0.3814,2.4010e-18
0.3815,2.3669e-18
0.3817,2.4306e-18
0.3819,2.5286e-18
0.3821,2.5108e-18
0.3823,2.4674e-18
0.3825,2.4237e-18
0.3827,2.3066e-18
0.3829,2.2009e-18
0.3831,2.2063e-18
0.3833,2.1829e-18
0.3835,2.2863e-18
0.3836,2.3246e-18
0.3838,2.3411e-18
0.3840,2.6147e-18
0.3842,2.7795e-18
0.3844,2.6262e-18
0.3846,2.5487e-18
0.3848,2.5506e-18
0.3850,2.4487e-18
0.3852,2.2551e-18
0.3854,1.9697e-18
0.3856,1.8343e-18
0.3858,1.9164e-18
0.3860,2.0025e-18
0.3861,2.0763e-18
0.3863,2.0835e-18
0.3865,2.0098e-18
0.3867,1.9231e-18
0.3869,1.8311e-18
0.3871,1.8657e-18
0.3873,1.8773e-18
0.3875,1.8104e-18
0.3877,1.8205e-18
0.3879,1.9210e-18
0.3881,2.0992e-18
0.3883,2.2165e-18
0.3885,2.1841e-18
0.3887,2.1673e-18
0.3889,2.0159e-18
0.3891,1.8422e-18
0.3892,1.5690e-18
0.3894,1.3507e-18
0.3896,1.3368e-18
0.3898,1.4490e-18
0.3900,1.4778e-18
0.3902,1.6318e-18
0.3904,1.8338e-18
0.3906,1.7841e-18
0.3908,1.6928e-18
0.3910,1.7008e-18
0.3912,1.6735e-18
0.3914,1.6483e-18
0.3916,1.5937e-18
0.3918,1.6566e-18
0.3920,1.9550e-18
0.3922,2.0421e-18
0.3924,1.8571e-18
0.3926,1.6524e-18
0.3928,1.4604e-18
0.3930,1.3786e-18
0.3932,1.3044e-18
0.3934,1.1962e-18
0.3936,1.0783e-18
0.3937,1.0593e-18
0.3939,1.1803e-18
0.3941,1.3145e-18
0.3943,1.3717e-18
0.3945,1.4004e-18
0.3947,1.4253e-18
0.3949,1.4693e-18
0.3951,1.5499e-18
0.3953,1.5724e-18
0.3955,1.5070e-18
0.3957,1.4180e-18
0.3959,1.5118e-18
0.3961,1.6213e-18
0.3963,1.5028e-18
0.3965,1.2843e-18
0.3967,1.1228e-18
0.3969,1.0610e-18
0.3971,1.0553e-18
0.3973,9.8543e-19
0.3975,8.9549e-19
0.3977,8.4695e-19
0.3979,8.3371e-19
0.3981,8.9170e-19
0.3983,9.4217e-19
0.3985,1.0136e-18
0.3987,9.9132e-19
0.3989,9.7463e-19
0.3991,1.0860e-18
0.3993,1.2040e-18
0.3995,1.2161e-18
0.3997,1.0696e-18
0.3999,9.6611e-19
0.4001,9.7222e-19
0.4003,9.0084e-19
0.4005,7.6228e-19
0.4007,6.2830e-19
0.4009,5.5168e-19
0.4011,5.2790e-19
0.4013,5.3726e-19
0.4015,5.3044e-19
0.4017,5.0931e-19
0.4019,4.9420e-19
0.4021,4.8518e-19
0.4023,4.8653e-19
0.4025,4.5372e-19
0.4027,4.1908e-19
0.4029,3.9224e-19
0.4031,3.4106e-19
0.4033,2.6871e-19
0.4035,2.0114e-19
0.4037,1.2959e-19
0.4039,6.4380e-20
0.4041,2.3420e-20
0.4043,5.6218e-21
0.4045,7.6691e-22
0.4047,4.3215e-22
0.4049,3.4667e-21
0.4051,1.6020e-20
0.4053,4.5687e-20
0.4055,9.2045e-20
0.4057,1.4140e-19
0.4059,1.9168e-19
0.4061,2.5803e-19
0.4063,3.3789e-19
0.4065,3.9471e-19
0.4068,4.4131e-19
0.4070,5.1527e-19
0.4072,5.9590e-19
0.4074,6.5165e-19
0.4076,6.4678e-19
0.4078,6.1875e-19
0.4080,6.6321e-19
0.4082,6.6452e-19
0.4084,5.7206e-19
0.4086,4.5921e-19
0.4088,4.0127e-19
0.4090,3.6937e-19
0.4092,3.7838e-19
0.4094,4.3293e-19
0.4096,4.3825e-19
0.4098,4.5745e-19
0.4100,5.0338e-19
0.4102,5.3803e-19
0.4104,5.6760e-19
0.4106,5.8070e-19
0.4108,6.2328e-19
0.4110,7.0533e-19
0.4113,7.5202e-19
0.4115,7.4553e-19
0.4117,7.6791e-19
0.4119,8.3892e-19
0.4121,8.8017e-19
0.4123,8.5892e-19
0.4125,7.0151e-19
0.4127,5.5020e-19
0.4129,4.7599e-19
0.4131,4.2427e-19
0.4133,3.7649e-19
0.4135,3.3847e-19
0.4137,3.1689e-19
0.4139,3.4191e-19
0.4141,3.9401e-19
0.4143,4.3745e-19
0.4146,4.6457e-19
0.4148,4.8876e-19
0.4150,5.0931e-19
0.4152,5.3105e-19
0.4154,5.9074e-19
0.4156,6.2051e-19
0.4158,6.3288e-19
0.4160,6.7803e-19
0.4162,7.3194e-19
0.4164,6.7361e-19
0.4166,5.7041e-19
0.4168,5.0151e-19
0.4170,4.4883e-19
0.4173,3.9310e-19
0.4175,3.3554e-19
0.4177,2.9848e-19
0.4179,2.8484e-19
0.4181,3.0320e-19
0.4183,3.5615e-19
0.4185,3.8115e-19
0.4187,3.8774e-19
0.4189,4.3012e-19
0.4191,4.7955e-19
0.4193,5.0360e-19
0.4196,5.2351e-19
0.4198,5.5575e-19
0.4200,6.0380e-19
0.4202,6.1761e-19
0.4204,6.3846e-19
0.4206,6.4643e-19
0.4208,5.6554e-19
0.4210,4.5704e-19
0.4212,4.0670e-19
0.4214,3.4751e-19
0.4217,2.9325e-19
0.4219,2.8519e-19
0.4221,3.1022e-19
0.4223,3.3321e-19
0.4225,3.3996e-19
0.4227,3.5424e-19
0.4229,3.8527e-19
0.4231,4.1515e-19
0.4233,4.5663e-19
0.4236,4.9771e-19
0.4238,5.2263e-19
0.4240,4.8963e-19
0.4242,4.6194e-19
0.4244,5.2047e-19
0.4246,5.9170e-19
0.4248,6.2178e-19
0.4250,6.1005e-19
0.4253,5.2415e-19
0.4255,4.3313e-19
0.4257,3.8318e-19
0.4259,3.5351e-19
0.4261,3.4087e-19
0.4263,3.5624e-19
0.4265,3.6842e-19
0.4267,3.6807e-19
0.4270,3.6205e-19
0.4272,3.4619e-19
0.4274,3.2181e-19
0.4276,3.0407e-19
0.4278,3.2126e-19
0.4280,3.5622e-19
0.4282,3.6358e-19
0.4285,3.8473e-19
0.4287,4.6868e-19
0.4289,5.3781e-19
0.4291,5.5257e-19
0.4293,5.2089e-19
0.4295,4.6696e-19
0.4297,4.2683e-19
0.4300,4.1784e-19
0.4302,4.0557e-19
0.4304,3.7767e-19
0.4306,3.7588e-19
0.4308,3.8926e-19
0.4310,3.8428e-19
0.4313,3.5613e-19
0.4315,3.2916e-19
0.4317,3.0760e-19
0.4319,2.9520e-19
0.4321,2.9615e-19
0.4323,3.0729e-19
0.4325,3.4374e-19
0.4328,3.9486e-19
0.4330,4.1440e-19
0.4332,4.0951e-19
0.4334,4.4234e-19
0.4336,4.7813e-19
0.4338,4.5061e-19
0.4341,4.3853e-19
0.4343,4.4652e-19
0.4345,4.3428e-19
0.4347,4.1953e-19
0.4349,4.3130e-19
0.4351,4.2786e-19
0.4354,3.7841e-19
0.4356,3.2978e-19
0.4358,3.2157e-19
0.4360,3.3601e-19
0.4362,3.4524e-19
0.4365,3.4928e-19
0.4367,3.6576e-19
0.4369,3.8898e-19
0.4371,4.1669e-19
0.4373,4.4998e-19
0.4375,4.9474e-19
0.4378,5.3063e-19
0.4380,5.2007e-19
0.4382,5.3156e-19
0.4384,5.4641e-19
0.4386,5.2632e-19
0.4389,4.9899e-19
0.4391,4.5849e-19
0.4393,4.2821e-19
0.4395,3.9924e-19
