wave[um],flux[W/m^2/um]
0.8770,8.8094e-17
0.8774,9.2491e-17
0.8779,9.3075e-17
0.8783,9.2461e-17
0.8788,9.4118e-17
0.8792,9.6423e-17
0.8796,9.9321e-17
0.8801,9.8727e-17
0.8805,9.6309e-17
0.8810,9.8185e-17
0.8814,1.0250e-16
0.8818,1.0821e-16
0.8823,1.0829e-16
0.8827,1.0490e-16
0.8832,1.0675e-16
0.8836,1.1137e-16
0.8840,1.1347e-16
0.8845,1.1157e-16
0.8849,1.0972e-16
0.8854,1.1475e-16
0.8858,1.1430e-16
0.8863,1.0480e-16
0.8867,9.8457e-17
0.8871,9.4928e-17
0.8876,9.4184e-17
0.8880,9.7495e-17
0.8885,9.7572e-17
0.8889,9.7903e-17
0.8894,9.9329e-17
0.8898,9.9240e-17
0.8903,1.0266e-16
0.8907,1.0519e-16
0.8911,1.0392e-16
0.8916,1.0026e-16
0.8920,9.7144e-17
0.8925,9.8373e-17
0.8929,1.0115e-16
0.8934,1.0592e-16
0.8938,1.0551e-16
0.8943,1.0233e-16
0.8947,1.0306e-16
0.8952,1.0319e-16
0.8956,1.0398e-16
0.8961,1.0656e-16
0.8965,1.0620e-16
0.8970,1.0533e-16
0.8974,1.0660e-16
0.8979,1.1040e-16
0.8983,1.1215e-16
0.8988,1.1314e-16
0.8992,1.1415e-16
0.8997,1.1860e-16
0.9001,1.1912e-16
0.9006,1.2162e-16
0.9010,1.2347e-16
0.9015,1.2222e-16
0.9019,1.1960e-16
0.9024,1.1693e-16
0.9028,1.1530e-16
0.9033,1.1831e-16
0.9037,1.2332e-16
0.9042,1.2514e-16
0.9046,1.2813e-16
0.9051,1.3001e-16
0.9055,1.2488e-16
0.9060,1.2366e-16
0.9064,1.2643e-16
0.9069,1.2742e-16
0.9073,1.2705e-16
0.9078,1.3127e-16
0.9082,1.3427e-16
0.9087,1.3211e-16
0.9091,1.3463e-16
0.9096,1.3875e-16
0.9101,1.4137e-16
0.9105,1.4075e-16
0.9110,1.3885e-16
0.9114,1.4657e-16
0.9119,1.4881e-16
0.9123,1.4615e-16
0.9128,1.4223e-16
0.9132,1.3896e-16
0.9137,1.3950e-16
0.9142,1.4256e-16
0.9146,1.4758e-16
0.9151,1.4497e-16
0.9155,1.4204e-16
0.9160,1.4766e-16
0.9164,1.5143e-16
0.9169,1.5017e-16
0.9174,1.4426e-16
0.9178,1.4391e-16
0.9183,1.5366e-16
0.9187,1.6048e-16
0.9192,1.6361e-16
0.9197,1.5920e-16
0.9201,1.5996e-16
0.9206,1.5989e-16
0.9210,1.5417e-16
0.9215,1.5587e-16
0.9220,1.5395e-16
0.9224,1.5131e-16
0.9229,1.5082e-16
0.9233,1.4669e-16
0.9238,1.4425e-16
0.9243,1.4576e-16
0.9247,1.4605e-16
0.9252,1.4407e-16
0.9257,1.4464e-16
0.9261,1.4150e-16
0.9266,1.3509e-16
0.9270,1.2697e-16
0.9275,1.1100e-16
0.9280,9.5753e-17
0.9284,9.4918e-17
0.9289,9.9431e-17
0.9294,1.0075e-16
0.9298,1.0190e-16
0.9303,1.0718e-16
0.9308,1.1211e-16
0.9312,1.1575e-16
0.9317,1.1652e-16
0.9322,1.1080e-16
0.9326,1.0772e-16
0.9331,1.0662e-16
0.9336,1.0541e-16
0.9340,1.0962e-16
0.9345,1.1386e-16
0.9350,1.1215e-16
0.9354,1.1104e-16
0.9359,1.1231e-16
0.9364,1.1620e-16
0.9368,1.1856e-16
0.9373,1.1950e-16
0.9378,1.1901e-16
0.9382,1.1681e-16
0.9387,1.1573e-16
0.9392,1.1581e-16
0.9396,1.2041e-16
0.9401,1.2446e-16
0.9406,1.2556e-16
0.9411,1.2623e-16
0.9415,1.2590e-16
0.9420,1.2729e-16
0.9425,1.3041e-16
0.9429,1.3201e-16
0.9434,1.3504e-16
0.9439,1.3604e-16
0.9443,1.3016e-16
0.9448,1.3536e-16
0.9453,1.4339e-16
0.9458,1.4062e-16
0.9462,1.3869e-16
0.9467,1.4000e-16
0.9472,1.3889e-16
0.9477,1.3742e-16
0.9481,1.3961e-16
0.9486,1.4632e-16
0.9491,1.4991e-16
0.9496,1.4621e-16
0.9500,1.4224e-16
0.9505,1.4144e-16
0.9510,1.4494e-16
0.9515,1.4355e-16
0.9519,1.3851e-16
0.9524,1.4708e-16
0.9529,1.5876e-16
0.9534,1.5859e-16
0.9538,1.5298e-16
0.9543,1.5185e-16
0.9548,1.5372e-16
0.9553,1.5360e-16
0.9557,1.4704e-16
0.9562,1.4611e-16
0.9567,1.4779e-16
0.9572,1.5012e-16
0.9577,1.5389e-16
0.9581,1.4958e-16
0.9586,1.4305e-16
0.9591,1.3560e-16
0.9596,1.2945e-16
0.9601,1.3179e-16
0.9605,1.3613e-16
0.9610,1.3688e-16
0.9615,1.4149e-16
0.9620,1.4687e-16
0.9625,1.5229e-16
0.9629,1.5628e-16
0.9634,1.5822e-16
0.9639,1.4735e-16
0.9644,1.4444e-16
0.9649,1.5160e-16
0.9653,1.4674e-16
0.9658,1.4559e-16
0.9663,1.5229e-16
0.9668,1.4721e-16
0.9673,1.5224e-16
0.9678,1.6090e-16
0.9682,1.5337e-16
0.9687,1.5335e-16
0.9692,1.5507e-16
0.9697,1.5771e-16
0.9702,1.6860e-16
0.9707,1.6365e-16
0.9712,1.5174e-16
0.9716,1.4949e-16
0.9721,1.4622e-16
0.9726,1.3626e-16
0.9731,1.3355e-16
0.9736,1.3747e-16
0.9741,1.3557e-16
0.9746,1.3864e-16
0.9750,1.4048e-16
0.9755,1.3628e-16
0.9760,1.3800e-16
0.9765,1.4477e-16
0.9770,1.4901e-16
0.9775,1.4672e-16
0.9780,1.4548e-16
0.9785,1.4970e-16
0.9790,1.5225e-16
0.9794,1.5144e-16
0.9799,1.5372e-16
0.9804,1.5317e-16
0.9809,1.5362e-16
0.9814,1.5081e-16
0.9819,1.4424e-16
0.9824,1.4522e-16
0.9829,1.4650e-16
0.9834,1.4459e-16
0.9839,1.4499e-16
0.9844,1.5067e-16
0.9848,1.5266e-16
0.9853,1.5508e-16
0.9858,1.6067e-16
0.9863,1.6448e-16
0.9868,1.6601e-16
0.9873,1.6598e-16
0.9878,1.7191e-16
0.9883,1.7560e-16
0.9888,1.7903e-16
0.9893,1.7515e-16
0.9898,1.5785e-16
0.9903,1.4206e-16
0.9908,1.3220e-16
0.9913,1.2391e-16
0.9918,1.2078e-16
0.9923,1.2509e-16
0.9928,1.2942e-16
0.9933,1.3279e-16
0.9937,1.3835e-16
0.9942,1.4730e-16
0.9947,1.5249e-16
0.9952,1.5570e-16
0.9957,1.5430e-16
0.9962,1.5716e-16
0.9967,1.6174e-16
0.9972,1.5077e-16
0.9977,1.4987e-16
0.9982,1.5446e-16
0.9987,1.4847e-16
0.9992,1.4578e-16
0.9997,1.5032e-16
